SCOPE,TM,RS,NAME,G,GS,MIN,FG,FGA,FG_PCT,FG3,FG3A,FG3_PCT,FT,FTA,FT_PCT,OFF,DEF,TREB,AST,PF,DQ,STL,TO,BLK,PTS,PPG,HI,Starter
Total,NY,ACT,Achiuwa,56,9,1137,156,309,0.505,10,36,0.278,39,65,0.6,100,208,308,53,77,1,45,43,42,361,6.4,26,0
Total,HOU,ACT,Adams,57,3,777,89,163,0.546,0,2,0.0,43,93,0.462,164,157,321,65,58,0,22,53,28,221,3.9,14,0
Total,MIA,ACT,Adebayo,78,78,2674,540,1113,0.485,79,221,0.357,251,328,0.765,185,564,749,337,162,0,98,161,53,1410,18.1,34,1
Total,TOR,ACT,Agbaji,63,44,1701,260,519,0.501,99,245,0.404,34,48,0.708,60,180,240,97,120,1,54,53,29,653,10.4,24,1
Total,MEM,ACT,Aldama,65,16,1660,313,648,0.483,120,326,0.368,65,94,0.691,94,322,416,188,76,0,52,71,29,811,12.5,29,0
Total,DEN,ACT,Alexander,23,0,111,12,40,0.3,3,17,0.176,3,4,0.75,1,10,11,11,10,0,1,5,1,30,1.3,7,0
Total,MIN,ACT,Alexander-Walker,81,10,2040,267,607,0.44,139,362,0.384,91,117,0.778,54,206,260,216,138,0,48,98,33,764,9.4,26,0
Total,PHO,ACT,Allen,63,6,1516,211,476,0.443,145,343,0.423,93,114,0.816,34,158,192,132,94,0,54,72,19,660,10.5,23,0
Total,CLE,ACT,Allen,81,81,2295,452,639,0.707,0,4,0.0,199,277,0.718,216,582,798,157,126,0,77,97,73,1103,13.6,29,1
Total,NO,ACT,Alvarado,55,22,1332,199,505,0.394,110,300,0.367,57,71,0.803,27,106,133,255,91,0,72,80,14,565,10.3,27,0
Total,MIA,ACT,Anderson,60,4,974,140,296,0.473,25,70,0.357,46,63,0.73,52,148,200,141,80,0,40,37,30,351,5.9,19,0
Total,MIL,ACT,Antetokounmpo,67,67,2289,793,1319,0.601,14,63,0.222,436,707,0.617,147,651,798,433,155,2,58,206,78,2036,30.4,59,1
Total,ORL,ACT,Anthony,66,22,1221,229,540,0.424,77,217,0.355,93,113,0.823,46,158,204,188,151,1,44,103,32,628,9.5,35,0
Total,NY,ACT,Anunoby,74,74,2706,489,1027,0.476,171,460,0.372,183,226,0.81,97,261,358,164,172,1,110,102,65,1332,18.0,40,1
Total,POR,ACT,Avdija,72,54,2161,402,844,0.476,125,342,0.366,290,372,0.78,110,412,522,281,171,1,71,196,35,1219,16.9,37,1
Total,POR,ACT,Ayton,40,40,1206,265,468,0.566,6,32,0.188,40,60,0.667,124,282,406,64,88,1,31,69,39,576,14.4,26,1
Total,PHI,ACT,Bagley,9,3,210,23,60,0.383,5,29,0.172,6,8,0.75,19,36,55,9,13,0,5,5,11,57,6.3,20,0
Total,MEM,ACT,Bagley,30,1,234,44,88,0.5,3,17,0.176,20,31,0.645,33,39,72,8,16,0,8,11,8,111,3.7,20,0
Total,LAC,ACT,Baldwin,24,0,107,19,35,0.543,13,23,0.565,2,4,0.5,5,20,25,3,7,0,3,5,2,53,2.2,7,0
Total,CHA,ACT,Ball,47,47,1505,406,1003,0.405,179,528,0.339,193,229,0.843,47,185,232,346,157,7,54,167,13,1184,25.2,50,1
Total,CHI,ACT,Ball,35,14,777,89,243,0.366,67,195,0.344,22,27,0.815,25,93,118,115,55,0,47,41,17,267,7.6,18,0
Total,ORL,ACT,Banchero,46,46,1582,412,911,0.452,87,272,0.32,280,385,0.727,51,294,345,219,97,0,36,136,28,1191,25.9,50,1
Total,MEM,ACT,Bane,69,68,2205,493,1018,0.484,164,418,0.392,177,198,0.894,62,356,418,369,164,0,80,169,28,1327,19.2,44,1
Total,POR,ACT,Banton,66,6,1084,190,485,0.392,68,210,0.324,88,121,0.727,29,101,130,153,56,0,42,83,34,536,8.1,23,0
Total,ATL,ACT,Barlow,34,3,341,54,104,0.519,7,25,0.28,18,27,0.667,33,47,80,18,43,0,9,5,16,133,3.9,13,0
Total,SA,ACT,Barnes,81,81,2196,343,673,0.51,154,353,0.436,153,191,0.801,96,209,305,135,75,0,36,50,14,993,12.3,29,1
Total,TOR,ACT,Barnes,64,64,2098,459,1040,0.441,74,278,0.266,225,298,0.755,106,385,491,370,113,0,93,180,63,1217,19.0,35,1
Total,TOR,ACT,Barrett,58,58,1869,460,982,0.468,107,306,0.35,196,311,0.63,61,305,366,314,137,0,46,166,17,1223,21.1,39,1
Total,TOR,ACT,Battle,58,9,999,140,328,0.427,98,244,0.402,16,18,0.889,36,113,149,50,87,2,17,25,10,394,6.8,24,0
